name,category,NORAD ID,Int'l Code,Perigee,Apogee,Inclination,Period,Semi major axis,RCS,Launch date,Source,Launch site
WESTFORD NEEDLES,Westford Needles,2359,1963-014J,"3,467.5 km","3,791.8 km",87.3 &deg,165.9 minutes,10000 km,0.1742 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2361,1963-014L,"3,250.9 km","4,033.6 km",87.4 &deg,166.2 minutes,10013 km,0.4596 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2362,1963-014M,"1,302.0 km","5,774.6 km",85.8 &deg,163.6 minutes,9909 km,0.2493 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2365,1963-014Q,"2,601.5 km","4,641.8 km",87.1 &deg,165.7 minutes,9992 km,0.3438 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2364,1963-014P,"3,192.0 km","4,089.8 km",87.6 &deg,166.2 minutes,10011 km,0.3867 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2367,1963-014S,"1,576.9 km","5,513.5 km",86.0 &deg,163.8 minutes,9916 km,0.1343 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2372,1963-014T,"3,276.1 km","4,006.7 km",87.4 &deg,166.2 minutes,10012 km,0.2392 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2375,1963-014W,"1,606.7 km","5,514.7 km",86.2 &deg,164.2 minutes,9931 km,0.1605 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2377,1963-014X,"2,746.9 km","4,493.7 km",87.3 &deg,165.7 minutes,9991 km,0.1884 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2378,1963-014Y,"3,247.1 km","4,031.3 km",87.3 &deg,166.1 minutes,10010 km,0.2715 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2379,1963-014Z,779.8 km,"6,186.1 km",84.6 &deg,162.2 minutes,9853 km,0.147 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2380,1963-014AA,"2,922.7 km","4,329.7 km",87.2 &deg,165.8 minutes,9997 km,0.1811 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2381,1963-014AB,"2,570.6 km","4,671.1 km",87.1 &deg,165.7 minutes,9991 km,0.2808 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2431,1963-014AC,"2,969.8 km","4,280.4 km",87.4 &deg,165.8 minutes,9996 km,0.2253 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2530,1963-014AJ,"2,864.8 km","4,380.7 km",87.4 &deg,165.7 minutes,9993 km,0.1665 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2531,1963-014AK,"3,393.4 km","3,877.2 km",87.3 &deg,166.0 minutes,10006 km,0.1718 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2532,1963-014AL,"3,016.1 km","4,254.0 km",87.3 &deg,166.0 minutes,10006 km,0.1353 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2796,1963-014AQ,"3,011.1 km","4,244.9 km",87.2 &deg,165.8 minutes,9998 km,0.2234 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2933,1963-014AR,,,,,,,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2949,1963-014AS,"1,500.7 km","5,556.0 km",85.9 &deg,163.4 minutes,9899 km,0.2138 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,2997,1963-014AU,"2,569.2 km","4,543.6 km",86.8 &deg,164.1 minutes,9927 km,0.1993 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,3239,1963-014BD,"3,625.6 km","3,675.9 km",87.3 &deg,166.4 minutes,10021 km,0.1183 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,3244,1963-014BJ,"3,616.0 km","3,688.2 km",87.3 &deg,166.4 minutes,10023 km,0.0759 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,3255,1963-014BV,"3,356.3 km","3,922.3 km",87.3 &deg,166.1 minutes,10010 km,0.3044 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES *,Westford Needles,3267,1963-014CF,585.7 km,"3,422.7 km",88.4 &deg,127.1 minutes,8375 km,0.029 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,3257,1963-014BX,"3,156.5 km","4,144.0 km",87.3 &deg,166.4 minutes,10021 km,0.1816 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,5702,1963-014CU,"2,044.2 km","5,153.4 km",86.7 &deg,165.1 minutes,9969 km,0.1919 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,18615,1963-014DK,"2,688.0 km","4,527.1 km",86.8 &deg,165.3 minutes,9978 km,0.075 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,18543,1963-014DJ,"3,141.9 km","4,139.7 km",87.4 &deg,166.2 minutes,10011 km,0.1639 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,18688,1963-014DM,"3,614.9 km","3,690.4 km",87.3 &deg,166.5 minutes,10023 km,0.0937 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,18962,1963-014DN,"2,511.5 km","4,655.2 km",86.9 &deg,164.7 minutes,9954 km,0.1049 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,19030,1963-014DY,"3,619.3 km","3,698.0 km",87.4 &deg,166.6 minutes,10029 km,0.2973 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,19051,1963-014EA,"2,750.7 km","4,507.3 km",87.2 &deg,165.9 minutes,10000 km,0.357 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,19059,1963-014EG,"3,567.2 km","3,716.4 km",87.3 &deg,166.2 minutes,10012 km,0.205 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,19109,1963-014EJ,"2,464.4 km","4,755.3 km",87.0 &deg,165.4 minutes,9980 km,0.124 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,19299,1963-014EL,"2,691.0 km","4,560.9 km",87.1 &deg,165.8 minutes,9996 km,0.2061 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,19891,1963-014ET,"3,184.8 km","4,092.1 km",87.3 &deg,166.1 minutes,10009 km,0.2198 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,19946,1963-014EU,"2,261.8 km","4,948.9 km",86.7 &deg,165.3 minutes,9976 km,0.1748 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,20005,1963-014EV,255.0 km,"2,396.2 km",83.6 &deg,112.0 minutes,7696 km,0.0692 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,20023,1963-014EZ,378.4 km,"6,201.3 km",83.7 &deg,157.5 minutes,9660 km,0.014 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,20504,1963-014FD,768.6 km,"6,200.9 km",84.9 &deg,162.3 minutes,9855 km,0.1216 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
WESTFORD NEEDLES,Westford Needles,21660,1963-014FG,"2,080.5 km","5,034.9 km",86.5 &deg,164.1 minutes,9928 km,0.1099 m,1963,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
YAOGAN 4,Space & Earth Science,33446,2008-061A,633.5 km,658.3 km,97.7 &deg,97.5 minutes,7016 km,3.29 m,2008,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 11,Space & Earth Science,37165,2010-047A,620.6 km,676.0 km,98.3 &deg,97.5 minutes,7019 km,3.485 m,2010,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 12,Space & Earth Science,37875,2011-066B,496.9 km,507.3 km,97.4 &deg,94.5 minutes,6873 km,6.0424 m,2011,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 13,Military,37941,2011-072A,516.3 km,519.8 km,97.6 &deg,94.8 minutes,6889 km,3.7655 m,2011,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 14,Military,38257,2012-021A,501.1 km,503.1 km,97.4 &deg,94.5 minutes,6873 km,5.8167 m,2012,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 15,Space & Earth Science,38354,2012-029A,"1,179.7 km","1,217.3 km",100.6 &deg,109.2 minutes,7569 km,3.4621 m,2012,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 16A,Yaogan,39011,2012-066A,914.0 km,"1,280.3 km",63.4 &deg,107.0 minutes,7468 km,2.894 m,2012,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 16B,Yaogan,39012,2012-066B,914.0 km,"1,280.3 km",63.4 &deg,107.0 minutes,7468 km,2.9144 m,2012,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 16C,Yaogan,39013,2012-066C,914.0 km,"1,280.2 km",63.4 &deg,107.0 minutes,7468 km,3.023 m,2012,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 17A,Yaogan,39239,2013-046A,926.8 km,"1,267.4 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2013,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 17B,Yaogan,39240,2013-046B,927.0 km,"1,267.2 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2013,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 17C,Yaogan,39241,2013-046C,926.2 km,"1,268.0 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2013,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 18,Yaogan,39363,2013-059A,476.1 km,486.3 km,97.3 &deg,94.1 minutes,6852 km,Unknown,2013,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 19,Yaogan,39410,2013-065A,"1,203.8 km","1,216.2 km",100.2 &deg,109.5 minutes,7581 km,Unknown,2013,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 20A,Yaogan,40109,2014-047A,953.3 km,"1,241.0 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2014,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 20B,Yaogan,40110,2014-047B,953.5 km,"1,240.8 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2014,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 20C,Yaogan,40111,2014-047C,953.3 km,"1,240.9 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2014,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 21,Yaogan,40143,2014-053A,490.5 km,513.8 km,97.4 &deg,94.5 minutes,6873 km,Unknown,2014,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 22,Yaogan,40275,2014-063A,"1,204.4 km","1,214.4 km",100.5 &deg,109.5 minutes,7580 km,Unknown,2014,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 23,Yaogan,40305,2014-071A,518.1 km,519.1 km,97.5 &deg,94.9 minutes,6889 km,Unknown,2014,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 24,Yaogan,40310,2014-072A,636.9 km,659.5 km,97.9 &deg,97.5 minutes,7019 km,Unknown,2014,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 25A,Yaogan,40338,2014-080A,972.1 km,"1,222.2 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2014,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 25B,Yaogan,40339,2014-080B,972.2 km,"1,222.0 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2014,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 25C,Yaogan,40340,2014-080C,972.2 km,"1,222.1 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2014,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN 26,Yaogan,40362,2014-088A,496.7 km,507.3 km,97.2 &deg,94.5 minutes,6872 km,Unknown,2014,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 28,Military,41026,2015-064A,500.8 km,503.9 km,97.4 &deg,94.5 minutes,6873 km,Unknown,2015,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 29,Military,41038,2015-069A,633.8 km,636.4 km,98.0 &deg,97.3 minutes,7006 km,Unknown,2015,People's Republic of China (PRC),"Taiyaun Space Center, China (TSC)"
YAOGAN 30,Military,41473,2016-029A,637.1 km,659.2 km,97.9 &deg,97.5 minutes,7019 km,Unknown,2016,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN-30 A,Yaogan,42945,2017-058A,603.4 km,608.3 km,35.0 &deg,96.7 minutes,6976 km,Unknown,2017,People's Republic of China (PRC),"Xichang Space Center, China (XSC)"
YAOGAN-30 B,Yaogan,42946,2017-058B,604.1 km,607.6 km,35.0 &deg,96.7 minutes,6976 km,Unknown,2017,People's Republic of China (PRC),"Xichang Space Center, China (XSC)"
YAOGAN-30 C,Yaogan,42947,2017-058C,601.5 km,610.2 km,35.0 &deg,96.7 minutes,6976 km,Unknown,2017,People's Republic of China (PRC),"Xichang Space Center, China (XSC)"
YAOGAN-30 G,Yaogan,43081,2017-085A,602.3 km,609.5 km,35.0 &deg,96.7 minutes,6976 km,Unknown,2017,People's Republic of China (PRC),"Xichang Space Center, China (XSC)"
YAOGAN-30 H,Yaogan,43082,2017-085B,602.5 km,609.3 km,35.0 &deg,96.7 minutes,6976 km,Unknown,2017,People's Republic of China (PRC),"Xichang Space Center, China (XSC)"
YAOGAN-30 J,Yaogan,43083,2017-085C,602.1 km,609.6 km,35.0 &deg,96.7 minutes,6976 km,Unknown,2017,People's Republic of China (PRC),"Xichang Space Center, China (XSC)"
YAOGAN-31 A,Military,43275,2018-034A,"1,040.4 km","1,153.9 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2018,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN-31 B,Military,43276,2018-034B,"1,040.2 km","1,154.1 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2018,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
YAOGAN-31 C,Military,43277,2018-034C,"1,040.2 km","1,154.1 km",63.4 &deg,107.0 minutes,7468 km,Unknown,2018,People's Republic of China (PRC),"Jiuquan Satellite Launch Center, China (JSC)"
SIRIUS 1,XM and Sirius,26390,2000-035A,"24,773.3 km","24,793.9 km",59.4 &deg,912.1 minutes,31154 km,24.1513 m,2000,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SIRIUS 2,XM and Sirius,26483,2000-051A,"23,385.5 km","24,379.8 km",65.3 &deg,872.8 minutes,30253 km,18.4732 m,2000,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SIRIUS 3,XM and Sirius,26626,2000-077A,"24,646.2 km","24,673.5 km",61.8 &deg,906.7 minutes,31030 km,8.8725 m,2000,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SIRIUS FM-5,XM and Sirius,35493,2009-034A,"35,788.5 km","35,798.1 km",0.0 &deg,"1,436.1 minutes",42164 km,9.2549 m,2009,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
TELKOM 3,XM and Sirius,38744,2012-044A,242.8 km,"1,121.3 km",49.9 &deg,98.2 minutes,7053 km,12.425 m,2012,Indonesia (INDO),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SIRIUS FM-6,XM and Sirius,39360,2013-058A,"35,789.6 km","35,797.4 km",0.0 &deg,"1,436.1 minutes",42164 km,Unknown,2013,United States (US),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
ATLAS CENTAUR 2 R/B,Brightest,694,1963-047A,466.3 km,"1,317.6 km",30.4 &deg,102.7 minutes,7262 km,7.867 m,1963,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
THOR AGENA D R/B,Brightest,733,1964-002A,767.0 km,814.7 km,99.0 &deg,100.5 minutes,7161 km,4.674 m,1964,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
SL-3 R/B,Brightest,877,1964-053B,664.2 km,740.3 km,65.1 &deg,98.7 minutes,7073 km,6.02 m,1964,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SL-8 R/B,Brightest,2802,1967-045B,706.2 km,800.3 km,74.0 &deg,99.7 minutes,7124 km,4.578 m,1967,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
SL-8 R/B,Brightest,3230,1968-040B,581.3 km,625.0 km,74.0 &deg,96.6 minutes,6974 km,4.4466 m,1968,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
OAO 2,Brightest,3597,1968-110A,742.7 km,750.0 km,35.0 &deg,99.6 minutes,7117 km,2.4517 m,1968,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
ISIS 1,Brightest,3669,1969-009A,582.8 km,"3,457.3 km",88.4 &deg,127.5 minutes,8391 km,2.0791 m,1969,Canada (CA),AIR FORCE WESTERN TEST RANGE (AFWTR)
SERT 2,Brightest,4327,1970-009A,"1,044.8 km","1,051.8 km",99.2 &deg,106.0 minutes,7419 km,5.0507 m,1970,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
SL-3 R/B,Brightest,4814,1970-113B,450.1 km,484.0 km,81.1 &deg,93.8 minutes,6838 km,6.542 m,1970,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
SL-3 R/B,Brightest,5118,1971-028B,497.6 km,561.2 km,81.3 &deg,95.1 minutes,6900 km,6.9028 m,1971,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
ASTEX 1,Brightest,5560,1971-089A,726.5 km,751.7 km,92.7 &deg,99.4 minutes,7110 km,9.8422 m,1971,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
SL-8 R/B,Brightest,5730,1971-119B,386.6 km,"1,386.5 km",73.9 &deg,102.6 minutes,7257 km,5.727 m,1971,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
COSMOS 482 DESCENT CRAFT,Brightest,6073,1972-023E,207.9 km,"2,277.3 km",52.0 &deg,110.2 minutes,7613 km,0.7153 m,1972,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
ATLAS CENTAUR R/B,Brightest,6155,1972-065B,636.1 km,690.2 km,35.0 &deg,97.9 minutes,7034 km,13.1064 m,1972,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
OAO 3 (COPERNICUS),Brightest,6153,1972-065A,702.5 km,711.4 km,35.0 &deg,98.8 minutes,7077 km,6.8136 m,1972,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
SL-8 R/B,Brightest,7004,1973-107B,314.4 km,448.6 km,73.9 &deg,92.0 minutes,6752 km,5.7394 m,1973,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
SL-8 R/B,Brightest,8459,1975-112B,764.3 km,788.1 km,74.1 &deg,100.2 minutes,7147 km,4.4145 m,1975,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
SL-3 R/B,Brightest,10114,1977-057B,511.5 km,529.8 km,97.3 &deg,94.9 minutes,6891 km,6.7656 m,1977,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SL-14 R/B,Brightest,11267,1979-011B,597.5 km,619.0 km,82.5 &deg,96.7 minutes,6979 km,4.4018 m,1979,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
SL-8 R/B,Brightest,11574,1979-089B,752.4 km,773.9 km,74.1 &deg,99.9 minutes,7134 km,5.375 m,1979,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
SL-14 R/B,Brightest,11672,1980-005B,599.2 km,623.5 km,82.5 &deg,96.8 minutes,6982 km,4.2954 m,1980,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
SL-8 R/B,Brightest,12139,1981-003B,382.3 km,"1,037.2 km",82.9 &deg,98.8 minutes,7080 km,7.2677 m,1981,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
SL-3 R/B,Brightest,12465,1981-046B,505.7 km,552.8 km,81.2 &deg,95.1 minutes,6900 km,5.7192 m,1981,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
METEOR PRIRODA,Brightest,12585,1981-065A,499.2 km,516.6 km,97.5 &deg,94.6 minutes,6878 km,4.6163 m,1981,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SL-3 R/B,Brightest,12904,1981-103B,536.5 km,575.9 km,81.2 &deg,95.6 minutes,6927 km,5.653 m,1981,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
SL-3 R/B,Brightest,13068,1982-013B,535.8 km,566.5 km,81.2 &deg,95.5 minutes,6922 km,5.3655 m,1982,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
